year,workload,country,scheduler,ci_mean_g_kwh,diurnal_amp_frac,co2_kg,co2_red_pct,facility_co2_kg,facility_co2_red_pct,p50_slow,p95_slow,p99_slow,ettr,jain,avg_pue
2032,M100,CH,ProACT-OPT,14.0,0.55,27.4167544091373,33.91484426400313,36.43628165772503,41.75120793674959,2.038205638424955,13.281656025656094,33.939840909090854,0.7005491777867683,0.29866729124281977,1.32897866443235
2032,M100,CH,ProACT-OPT-PUE,14.0,0.55,27.350341569181264,34.07492531538762,44.03088284796125,29.61011325291285,2.038205638424955,13.281656025656094,33.939840909090854,0.7005491777867683,0.29866729124281977,1.3328543891540952
2032,M100,IT,FCFS,117.99999999999997,0.65,318.18529596934366,0.0,498.3960028691419,0.0,2.038205638424955,13.281656025656094,33.939840909090854,0.7363580407744837,0.2973611866158164,1.32897866443235
2032,M100,IT,Threshold,117.99999999999997,0.65,284.3703840208569,10.627427595442606,377.92217316015285,24.172310575416166,7.78802126512182,53.322428398547785,160.29261363636363,0.3609246646486488,0.25295652752731884,1.32897866443235
2032,M100,IT,CarbonScaler,117.99999999999997,0.65,181.05971130667737,43.0961412735672,240.624493314855,51.72022008008901,2.038205638424955,13.281656025656094,33.939840909090854,0.7363580407744837,0.2973611866158164,1.32897866443235
2032,M100,IT,ProACT-OPT,117.99999999999997,0.65,208.5564975095158,34.45438863723932,277.16713551888506,44.38817046619501,2.038205638424955,13.281656025656094,33.939840909090854,0.7180074167039902,0.29797261850261636,1.32897866443235
2032,M100,IT,ProACT-OPT-PUE,117.99999999999997,0.65,208.4694494093745,34.48174631254487,348.3355816874293,30.108672685545645,2.038205638424955,13.281656025656094,33.939840909090854,0.7180074167039902,0.2979726185026163,1.3441903282192014
2032,M100,DE,FCFS,90.0,0.8,286.2752592901459,0.0,437.9638854101451,0.0,2.038205638424955,13.281656025656094,33.939840909090854,0.7363580407744837,0.2973611866158164,1.32897866443235
2032,M100,DE,Threshold,90.0,0.8,233.89646579795556,18.29665393442309,310.8434127316138,29.025332205071052,12.741086538112357,92.30846153846112,244.17654220779212,0.24767722827648178,0.28041885768421926,1.32897866443235
2032,M100,DE,CarbonScaler,90.0,0.8,148.8109261833254,48.01823721954875,197.7665459320568,54.844097305682624,2.038205638424955,13.281656025656094,33.939840909090854,0.7363580407744837,0.2973611866158164,1.32897866443235
2032,M100,DE,ProACT-OPT,90.0,0.8,185.56709155663498,35.17878840917968,246.61470549953236,43.69062981789418,2.038205638424955,13.281656025656094,33.939840909090854,0.7056968506106709,0.29848381690868664,1.32897866443235
2032,M100,DE,ProACT-OPT-PUE,90.0,0.8,185.97330025152922,35.036893962589545,302.5169264990685,30.926513217918195,2.038205638424955,13.281656025656094,33.939840909090854,0.7056968506106709,0.29848381690868664,1.3434869567945402
2032,Philly,CH,FCFS,14.0,0.55,6.293618309313577,0.0,24.974702240637335,0.0,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.2481039252009173,1.4769416519514584
2032,Philly,CH,Threshold,14.0,0.55,6.293618309313577,0.0,9.29530702250954,62.781109728768755,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.2481039252009173,1.4769416519514584
2032,Philly,CH,CarbonScaler,14.0,0.55,3.805499714859104,39.53399256469754,5.62050103536481,77.49522304126026,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4769416519514584
2032,Philly,CH,ProACT-OPT,14.0,0.55,4.942437955434763,21.46905464348349,7.299692478567408,70.77165361879756,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4769416519514584
2032,Philly,CH,ProACT-OPT-PUE,14.0,0.55,4.9191420561335235,21.839205773665082,21.440050567443716,14.152928187637205,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4336472826198454
2032,Philly,IT,FCFS,117.99999999999997,0.65,63.66379263746087,0.0,223.7794516998549,0.0,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.2481039252009173,1.4769416519514584
2032,Philly,IT,Threshold,117.99999999999997,0.65,63.66379263746087,0.0,94.02770706746657,57.981974505156266,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.2481039252009173,1.4769416519514584
2032,Philly,IT,CarbonScaler,117.99999999999997,0.65,43.44939944293092,31.75178913647607,64.17222778954117,71.3234493595898,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091729,1.4769416519514584
2032,Philly,IT,ProACT-OPT,117.99999999999997,0.65,49.33557113466883,22.50607591725704,72.86575993160648,67.43858322195821,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4769416519514584
2032,Philly,IT,ProACT-OPT-PUE,117.99999999999997,0.65,48.89255045264234,23.201951333522786,192.45496924688766,13.997926179111975,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4336472826198454
2032,Philly,DE,FCFS,90.0,0.8,45.442095424659435,0.0,182.30838035237977,0.0,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.2481039252009173,1.4769416519514584
2032,Philly,DE,Threshold,90.0,0.8,45.442095424659435,0.0,67.11532348463231,63.1858264798872,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.2481039252009173,1.4769416519514584
2032,Philly,DE,CarbonScaler,90.0,0.8,28.74862793843515,36.73569039944727,42.46004603873026,76.70976728735114,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091729,1.4769416519514584
2032,Philly,DE,ProACT-OPT,90.0,0.8,36.018123849338984,20.738417731957128,53.19666733823494,70.82050356905573,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4769416519514584
2032,Philly,DE,ProACT-OPT-PUE,90.0,0.8,35.96650304504143,20.852014615672886,155.07365602578287,14.938821942225323,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4336472826198454
2032,Acme,CH,FCFS,14.0,0.55,1056.3290651861885,0.0,1250.1253252254953,0.0,1.3354262662236622,3.8560716802439847,14.597796527735044,0.7230295649391724,0.2622428075113843,1.181423456414757
2032,Acme,CH,Threshold,14.0,0.55,979.5139785797418,7.271889900417284,1157.2207901802487,7.431617708287663,1.6163760059244103,23.8318479047556,30.747824157679183,0.7099053135898432,0.21699566146823795,1.181423456414757
2032,Acme,CH,CarbonScaler,14.0,0.55,958.3534661640265,9.275102072940955,1132.2212644625672,9.43137926924733,1.0373466359948118,3.8806510189296626,14.623631826518992,0.9440153554899922,0.20954104950858582,1.181423456414757
2032,Acme,CH,ProACT-OPT,14.0,0.55,991.9591749682736,6.0937346457061725,1171.9238371133486,6.255491872228158,1.2253835597675709,3.8646353589534446,13.689429289888672,0.777871692916512,0.24338124954008072,1.181423456414757
2032,Acme,CH,ProACT-OPT-PUE,14.0,0.55,1001.2337056930053,5.215738287336835,1179.479288465551,5.651116358849951,1.2253835597675709,4.049346040938738,14.597796527735044,0.7755737387002246,0.24584875473511758,1.175203765664739
2032,Acme,IT,FCFS,117.99999999999997,0.65,8551.498656649715,0.0,10106.262760468573,0.0,1.3354262662236622,3.8560716802439847,14.597796527735044,0.7230295649391724,0.2622428075113843,1.181423456414757
