policy,mechanism,seed,n_jobs,energy_kwh,co2_g_it,co2_g_facility,cfe_pct,p50_slowdown,p95_slowdown,p99_slowdown,avg_pue,swf_utilitarian,swf_nash,swf_alpha_0.5,swf_alpha_1.0,swf_alpha_2.0,jain_fairness,n_users,audit_n_over_declared,audit_n_under_declared,audit_total_penalty,audit_nom_ic_violation_rate
EASY,M1,20260524,1994,8818.0100,2183132.9141,2643132.8406,68.1604,12.1932,69.9441,186.6682,1.2225,0.4951,0.0000,1.4103,-995.4198,-48000000002.0199,0.9070,49,1785,130,1822.3766,0.0000
EASY,M2,20260518,1994,8824.0100,2095566.4201,2574079.6983,71.9289,12.5769,88.1172,234.9815,1.1695,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9361,49,0,0,0.0000,0.0000
EASY,M2,20260517,1994,8823.7767,2145468.0045,2616217.7070,69.8148,12.5446,74.8412,205.6273,1.1596,0.0765,0.0000,0.7724,-980.6545,-47000000059.7359,0.9378,49,0,0,0.0000,0.0000
EASY,M2,20260519,1994,8826.3771,2094099.7331,2538181.9022,72.0147,12.5136,55.1353,137.9574,1.2391,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9232,49,0,0,0.0000,0.0000
EASY,M2,20260520,1994,8818.0100,2161246.4834,2623195.6600,69.0872,12.6192,61.5936,181.0000,1.2719,0.0530,0.0000,0.4636,-997.6538,-48000000018.8600,0.9209,49,0,0,0.0000,0.0000
EASY,M2,20260522,1994,8819.2100,2148329.5996,2610443.4451,69.6466,12.1936,60.0164,149.7097,1.2018,0.3326,0.0000,1.1564,-995.8177,-48000000003.0070,0.9231,49,0,0,0.0000,0.0000
EASY,M2,20260521,1994,8817.5258,2105929.1148,2569147.8114,71.4248,12.7334,73.4098,184.8060,1.1874,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9207,49,0,0,0.0000,0.0000
EASY,M2,20260523,1994,8819.2100,2124908.1681,2586790.9099,70.6383,10.8070,57.6929,145.2057,1.2101,0.3359,0.0000,1.6193,-977.6763,-47000000013.3544,0.9041,49,0,0,0.0000,0.0000
EASY,M2,20260524,1994,8818.0100,2183132.9141,2643132.8406,68.1604,12.1932,69.9441,186.6682,1.2225,0.4951,0.0000,1.4103,-995.4198,-48000000002.0199,0.9070,49,0,0,0.0000,0.0000
EASY,M3,20260517,1994,8823.7767,2145468.0045,2616217.7070,69.8148,12.5446,74.8412,205.6273,1.1596,0.0765,0.0000,0.7724,-980.6545,-47000000059.7359,0.9378,49,0,0,0.0000,0.0000
EASY,M3,20260518,1994,8824.0100,2095566.4201,2574079.6983,71.9289,12.5769,88.1172,234.9815,1.1695,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9361,49,0,0,0.0000,0.0000
EASY,M3,20260519,1994,8826.3771,2094099.7331,2538181.9022,72.0147,12.5136,55.1353,137.9574,1.2391,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9232,49,0,0,0.0000,0.0000
EASY,M3,20260520,1994,8818.0100,2161246.4834,2623195.6600,69.0872,12.6192,61.5936,181.0000,1.2719,0.0530,0.0000,0.4636,-997.6538,-48000000018.8600,0.9209,49,0,0,0.0000,0.0000
EASY,M3,20260521,1994,8817.5258,2105929.1148,2569147.8114,71.4248,12.7334,73.4098,184.8060,1.1874,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.9207,49,0,0,0.0000,0.0000
EASY,M3,20260522,1994,8819.2100,2148329.5996,2610443.4451,69.6466,12.1936,60.0164,149.7097,1.2018,0.3326,0.0000,1.1564,-995.8177,-48000000003.0070,0.9231,49,0,0,0.0000,0.0000
EASY,M3,20260523,1994,8819.2100,2124908.1681,2586790.9099,70.6383,10.8070,57.6929,145.2057,1.2101,0.3359,0.0000,1.6193,-977.6763,-47000000013.3544,0.9041,49,0,0,0.0000,0.0000
EASY,M3,20260524,1994,8818.0100,2183132.9141,2643132.8406,68.1604,12.1932,69.9441,186.6682,1.2225,0.4951,0.0000,1.4103,-995.4198,-48000000002.0199,0.9070,49,0,0,0.0000,0.0000
SAF,none,20260517,1994,8816.0925,2116771.0666,2635989.7108,70.9511,2.3139,15.7296,28.8523,1.1895,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.0209,49,0,0,0.0000,0.0000
SAF,none,20260518,1994,8666.2904,2125006.9713,2584433.8984,69.0465,2.3159,15.7296,28.8523,1.2632,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.0209,49,0,0,0.0000,0.0000
SAF,none,20260519,1994,8704.2392,2138698.6453,2598286.6933,68.8583,2.3099,15.7296,28.8523,1.2355,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.0209,49,0,0,0.0000,0.0000
SAF,none,20260520,1994,8656.7233,2132604.6962,2587454.1600,68.6175,2.3182,15.5956,28.8523,1.2486,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.0209,49,0,0,0.0000,0.0000
SAF,none,20260522,1994,8814.7425,2117907.2585,2593681.5443,70.8893,2.3159,15.7296,28.8523,1.2368,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.0209,49,0,0,0.0000,0.0000
SAF,none,20260521,1994,8816.0925,2146865.1017,2620781.9835,69.6765,2.3139,15.5956,28.8523,1.2076,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.0209,49,0,0,0.0000,0.0000
SAF,none,20260523,1994,8656.2392,2108779.3197,2574804.4996,69.6402,2.3139,15.5956,28.8523,1.2571,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.0209,49,0,0,0.0000,0.0000
SAF,none,20260524,1994,8666.0396,2099554.2006,2566713.4165,70.1406,2.3139,15.5956,28.8523,1.2615,0.0000,0.0000,0.0031,-1015.4400,-49000000000.0000,0.0209,49,0,0,0.0000,0.0000
SAF,M0,20260517,1994,8817.4767,2112645.3614,2608135.0383,71.1399,3.1907,24.2663,30.8354,1.2013,0.7433,0.0000,2.3454,-976.3085,-47000000007.5258,0.6606,49,0,0,0.0000,0.0000
SAF,M0,20260518,1994,8666.5237,2110829.2863,2563463.2309,69.6598,2.8282,25.1976,31.7285,1.2547,0.1507,0.0000,0.7796,-996.6089,-48000000006.6337,0.4012,49,0,0,0.0000,0.0000
SAF,M0,20260519,1994,8811.5925,2149085.6609,2594708.9536,69.5359,4.6753,17.9732,27.0572,1.2404,0.6836,0.0000,2.7305,-958.3013,-46000000019.2175,0.7444,49,0,0,0.0000,0.0000
SAF,M0,20260520,1994,8653.7233,2137079.3075,2583602.1944,68.3926,3.6686,21.0097,28.0878,1.2341,1.5556,0.0000,5.3105,-904.4105,-43000000327.7961,0.6639,49,0,0,0.0000,0.0000
SAF,M0,20260521,1994,8808.7425,2133445.0521,2611589.9876,70.1695,3.2270,22.3128,30.8211,1.2101,0.4589,0.0000,1.9095,-976.9776,-47000000009.0721,0.6491,49,0,0,0.0000,0.0000
SAF,M0,20260522,1994,8810.2425,2140731.1831,2620242.9013,69.8761,3.6379,20.5932,27.5681,1.2009,1.1157,0.0000,4.6723,-919.5568,-44000000024.6018,0.6760,49,0,0,0.0000,0.0000
SAF,M0,20260523,1994,8653.3892,2103762.6177,2569329.2441,69.8267,3.3820,20.2060,26.6252,1.2466,4.0179,0.0000,12.8341,-800.5288,-38000000054.1394,0.7027,49,0,0,0.0000,0.0000
SAF,M0,20260524,1994,8663.1896,2098174.7730,2558410.4832,70.1702,3.1032,23.2809,29.1814,1.2729,2.5071,0.0000,7.8749,-879.6281,-42000000041.3410,0.6638,49,0,0,0.0000,0.0000
SAF,M1,20260517,1994,8817.4767,2112645.3614,2608135.0383,71.1399,3.1907,24.2663,30.8354,1.2013,0.7433,0.0000,2.3454,-976.3085,-47000000007.5258,0.6606,49,1278,392,505.0621,0.0000
SAF,M1,20260518,1994,8666.5237,2110829.2863,2563463.2309,69.6598,2.8282,25.1976,31.7285,1.2547,0.1507,0.0000,0.7796,-996.6089,-48000000006.6337,0.4012,49,1261,322,384.9686,0.0000
SAF,M1,20260519,1994,8811.5925,2149085.6609,2594708.9536,69.5359,4.6753,17.9732,27.0572,1.2404,0.6836,0.0000,2.7305,-958.3013,-46000000019.2175,0.7444,49,1346,512,552.0590,0.0000
SAF,M1,20260520,1994,8653.7233,2137079.3075,2583602.1944,68.3926,3.6686,21.0097,28.0878,1.2341,1.5556,0.0000,5.3105,-904.4105,-43000000327.7961,0.6639,49,1296,480,526.4421,0.0000
SAF,M1,20260521,1994,8808.7425,2133445.0521,2611589.9876,70.1695,3.2270,22.3128,30.8211,1.2101,0.4589,0.0000,1.9095,-976.9776,-47000000009.0721,0.6491,49,1280,428,526.2816,0.0000
SAF,M1,20260522,1994,8810.2425,2140731.1831,2620242.9013,69.8761,3.6379,20.5932,27.5681,1.2009,1.1157,0.0000,4.6723,-919.5568,-44000000024.6018,0.6760,49,1300,466,477.9807,0.0000
SAF,M1,20260523,1994,8653.3892,2103762.6177,2569329.2441,69.8267,3.3820,20.2060,26.6252,1.2466,4.0179,0.0000,12.8341,-800.5288,-38000000054.1394,0.7027,49,1280,432,450.5537,0.0000
SAF,M1,20260524,1994,8663.1896,2098174.7730,2558410.4832,70.1702,3.1032,23.2809,29.1814,1.2729,2.5071,0.0000,7.8749,-879.6281,-42000000041.3410,0.6638,49,1281,408,446.7570,0.0000
SAF,M2,20260517,1994,8817.4767,2112645.3614,2608135.0383,71.1399,3.1907,24.2663,30.8354,1.2013,0.7433,0.0000,2.3454,-976.3085,-47000000007.5258,0.6606,49,0,0,0.0000,0.0000
SAF,M2,20260518,1994,8666.5237,2110829.2863,2563463.2309,69.6598,2.8282,25.1976,31.7285,1.2547,0.1507,0.0000,0.7796,-996.6089,-48000000006.6337,0.4012,49,0,0,0.0000,0.0000
SAF,M2,20260519,1994,8811.5925,2149085.6609,2594708.9536,69.5359,4.6753,17.9732,27.0572,1.2404,0.6836,0.0000,2.7305,-958.3013,-46000000019.2175,0.7444,49,0,0,0.0000,0.0000
SAF,M2,20260520,1994,8653.7233,2137079.3075,2583602.1944,68.3926,3.6686,21.0097,28.0878,1.2341,1.5556,0.0000,5.3105,-904.4105,-43000000327.7961,0.6639,49,0,0,0.0000,0.0000
