country,mw,tier,seed,nodes,energy_kwh,ci_weighted_mean,cfe_canonical_pct,cfe_pct,cfe_abs_pct,co2_g_facility,p50_slowdown,p95_slowdown
DE,50,0,0,33333,18029.1283,283.8267,64.5217,59.7839,0.0000,60937892.9587,600.6167,600.6333
DE,50,0,1,33333,18029.1283,283.8267,64.5217,59.7839,0.0000,60937892.9587,600.6167,600.6333
DE,50,0,2,33333,18029.1283,283.8267,64.5217,59.7839,0.0000,60937892.9587,600.6167,600.6333
DE,50,0,3,33333,18029.1283,283.8267,64.5217,59.7839,0.0000,60937892.9587,600.6167,600.6333
DE,50,0,4,33333,18029.1283,283.8267,64.5217,59.7839,0.0000,60937892.9587,600.6167,600.6333
DE,50,0,5,33333,18029.1283,283.8267,64.5217,59.7839,0.0000,60937892.9587,600.6167,600.6333
DE,50,0,6,33333,18029.1283,283.8267,64.5217,59.7839,0.0000,60937892.9587,600.6167,600.6333
DE,50,0,7,33333,18029.1283,283.8267,64.5217,59.7839,0.0000,60937892.9587,600.6167,600.6333
DE,50,1,0,33333,17979.8283,281.4855,64.8143,60.7405,0.0000,61844711.6099,600.6167,600.6333
DE,50,1,1,33333,17979.8283,281.4855,64.8143,60.7405,0.0000,61844711.6099,600.6167,600.6333
