country,mw,layer,mechanism,cfe_pct_mean,cfe_lift_pp_mean,cfe_abs_pct_mean,cfe_abs_lift_pp_mean,cfe_canonical_pct_mean,cfe_canonical_lift_pp_mean,cfe_lift_pp_vs_fcfs_mean,cfe_canonical_lift_pp_vs_fcfs_mean,ci_weighted_lift_g_vs_fcfs_mean,co2_avoided_t_y_vs_fcfs_mean,ci_weighted_mean_g,ci_weighted_lift_g_mean,co2_avoided_t_y_mean,delta_facility_pp_mean,jain_mean,p95_mean
DE,50.0000,pue,none,66.3075,0.0000,0.0000,0.0000,66.4125,0.0000,0.0000,0.0000,0.0000,0.0000,268.6998,0.0000,0.0000,0.0000,0.7493,157.9583
FR,1.0000,fsla,M0,51.8864,0.9069,100.0000,0.0000,93.3383,0.0039,1.7506,0.0018,0.0141,3.7287,53.2938,0.0311,0.0177,-0.6215,0.7117,170.8545
FR,1.0000,fsla,M1,51.8864,0.9069,100.0000,0.0000,93.3383,0.0039,1.7506,0.0018,0.0141,3.7287,53.2938,0.0311,0.0177,-0.6215,0.7117,170.8545
FR,1.0000,fsla,M2,51.8864,0.9069,100.0000,0.0000,93.3383,0.0039,1.7506,0.0018,0.0141,3.7287,53.2938,0.0311,0.0177,-0.6215,0.7117,170.8545
FR,1.0000,fsla,M3,51.8864,0.9069,100.0000,0.0000,93.3383,0.0039,1.7506,0.0018,0.0141,3.7287,53.2938,0.0311,0.0177,-0.6215,0.7117,170.8545
FR,1.0000,fsla,none,50.9796,0.0000,100.0000,0.0000,93.3344,0.0000,0.8438,-0.0021,-0.0170,3.7110,53.3249,0.0000,0.0000,0.0000,0.7637,181.0000
FR,1.0000,pue,GridPilot-PUE,52.2811,2.1453,100.0000,0.0000,93.3403,0.0038,2.1453,0.0038,0.0303,3.7371,53.2776,0.0303,3.7371,46.7208,0.8404,158.5600
FR,1.0000,pue,none,50.1358,0.0000,100.0000,0.0000,93.3365,0.0000,0.0000,0.0000,0.0000,0.0000,53.3079,0.0000,0.0000,0.0000,0.8091,172.6894
FR,10.0000,fsla,M0,52.3923,0.6281,100.0000,0.0000,93.3352,-0.0053,2.0339,0.0012,0.0099,35.3077,53.3188,-0.0420,0.1153,-0.6653,0.7451,156.2092
FR,10.0000,fsla,M1,52.3923,0.6281,100.0000,0.0000,93.3352,-0.0053,2.0339,0.0012,0.0099,35.3077,53.3188,-0.0420,0.1153,-0.6653,0.7451,156.2092
