t,gpu_index,power_w,sm_clock_mhz,util_gpu,pcap_set,rapl_pkg_uj
2.7381,1,259.85,1530,1.0,,186721807208
2.7381,2,273.54,1530,1.0,,186721807208
2.7495,0,285.44,1530,1.0,,186722509476
2.7495,1,255.55,1530,1.0,,186722509476
2.7495,2,271.80,1530,1.0,,186722509476
2.7631,0,288.98,1530,1.0,,186723342604
2.7631,1,260.32,1530,1.0,,186723342604
2.7631,2,274.98,1530,1.0,,186723342604
2.7777,0,288.98,1530,1.0,,186724309032
2.7777,1,260.32,1530,1.0,,186724309032
2.7777,2,274.98,1530,1.0,,186724309032
2.7891,0,286.39,1530,1.0,,186725012461
2.7891,1,255.55,1530,1.0,,186725012461
2.7891,2,270.18,1530,1.0,,186725012461
2.8025,0,289.94,1530,1.0,,186725903999
2.8025,1,260.80,1530,1.0,,186725903999
2.8025,2,272.76,1530,1.0,,186725903999
2.8173,0,289.94,1530,1.0,,186726805852
2.8173,1,260.80,1530,1.0,,186726805852
2.8173,2,272.76,1530,1.0,,186726805852
2.8287,0,286.87,1530,1.0,,186727565250
2.8287,1,256.03,1530,1.0,,186727565250
2.8287,2,271.80,1530,1.0,,186727565250
2.8420,0,290.70,1530,1.0,,186728400086
2.8420,1,256.03,1530,1.0,,186728400086
2.8420,2,272.40,1530,1.0,,186728400086
2.8548,0,290.70,1530,1.0,,186729229064
2.8548,1,259.67,1530,1.0,,186729229064
2.8548,2,272.40,1530,1.0,,186729229064
2.8669,0,285.92,1530,1.0,,186729994198
2.8669,1,255.55,1530,1.0,,186729994198
2.8669,2,272.76,1530,1.0,,186729994198
2.8806,0,286.11,1530,1.0,,186730828547
2.8806,1,255.55,1530,1.0,,186730828547
2.8806,2,273.54,1530,1.0,,186730828547
2.8946,0,286.11,1530,1.0,,186731724968
2.8946,1,260.63,1530,1.0,,186731724968
2.8946,2,273.54,1530,1.0,,186731724968
