country,mw,tier,tier_name,seed,n_jobs,energy_kwh,co2_g_it,co2_g_facility,co2_tonnes_y,cfe_pct,cfe_abs_pct,ci_weighted_mean,p50_slowdown,p95_slowdown,p99_slowdown,cfe_lift_pp_vs_t0
SE,10.0000,5,T5,20260521,1994,60331.3467,669085.9023,1430868.2829,8.1405,44.8006,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,5,T5,20260522,1994,60331.3467,669085.9023,1430868.2829,8.1405,44.8006,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,5,T5,20260523,1994,60331.3467,669085.9023,1430868.2829,8.1405,44.8006,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,5,T5,20260524,1994,60331.3467,669085.9023,1430868.2829,8.1405,44.8006,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,50.0000,0,T0,20260517,1994,300022.1538,3331483.1648,74549882.3879,40.5330,44.4849,100.0000,11.3243,15.0694,170.7893,451.3987,0.0000
SE,50.0000,0,T0,20260518,1994,300022.1538,3331483.1648,74549882.3879,40.5330,44.4849,100.0000,11.3243,15.0694,170.7893,451.3987,0.0000
SE,50.0000,0,T0,20260519,1994,300022.1538,3331483.1648,74549882.3879,40.5330,44.4849,100.0000,11.3243,15.0694,170.7893,451.3987,0.0000
SE,50.0000,0,T0,20260520,1994,300022.1538,3331483.1648,74549882.3879,40.5330,44.4849,100.0000,11.3243,15.0694,170.7893,451.3987,0.0000
SE,50.0000,0,T0,20260521,1994,300022.1538,3331483.1648,74549882.3879,40.5330,44.4849,100.0000,11.3243,15.0694,170.7893,451.3987,0.0000
SE,50.0000,0,T0,20260522,1994,300022.1538,3331483.1648,74549882.3879,40.5330,44.4849,100.0000,11.3243,15.0694,170.7893,451.3987,0.0000
SE,50.0000,0,T0,20260523,1994,300022.1538,3331483.1648,74549882.3879,40.5330,44.4849,100.0000,11.3243,15.0694,170.7893,451.3987,0.0000
SE,50.0000,0,T0,20260524,1994,300022.1538,3331483.1648,74549882.3879,40.5330,44.4849,100.0000,11.3243,15.0694,170.7893,451.3987,0.0000
SE,50.0000,1,T1,20260517,1994,299981.3538,3316517.9129,73148243.2021,40.3510,45.5807,100.0000,11.2081,10.5491,71.5507,122.7706,1.0958
SE,50.0000,1,T1,20260518,1994,299981.3538,3316517.9129,73148243.2021,40.3510,45.5807,100.0000,11.2081,10.5491,71.5507,122.7706,1.0958
SE,50.0000,1,T1,20260519,1994,299981.3538,3316517.9129,73148243.2021,40.3510,45.5807,100.0000,11.2081,10.5491,71.5507,122.7706,1.0958
SE,50.0000,1,T1,20260520,1994,299981.3538,3316517.9129,73148243.2021,40.3510,45.5807,100.0000,11.2081,10.5491,71.5507,122.7706,1.0958
SE,50.0000,1,T1,20260521,1994,299981.3538,3316517.9129,73148243.2021,40.3510,45.5807,100.0000,11.2081,10.5491,71.5507,122.7706,1.0958
SE,50.0000,1,T1,20260522,1994,299981.3538,3316517.9129,73148243.2021,40.3510,45.5807,100.0000,11.2081,10.5491,71.5507,122.7706,1.0958
SE,50.0000,1,T1,20260523,1994,299981.3538,3316517.9129,73148243.2021,40.3510,45.5807,100.0000,11.2081,10.5491,71.5507,122.7706,1.0958
SE,50.0000,1,T1,20260524,1994,299981.3538,3316517.9129,73148243.2021,40.3510,45.5807,100.0000,11.2081,10.5491,71.5507,122.7706,1.0958
SE,50.0000,2,T2,20260518,1994,300102.6346,3327428.0421,75523324.7415,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,2,T2,20260517,1994,300102.6346,3327428.0421,75523324.7415,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,2,T2,20260519,1994,300102.6346,3327428.0421,75523324.7415,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,2,T2,20260520,1994,300102.6346,3327428.0421,75523324.7415,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,2,T2,20260521,1994,300102.6346,3327428.0421,75523324.7415,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,2,T2,20260522,1994,300102.6346,3327428.0421,75523324.7415,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,2,T2,20260523,1994,300102.6346,3327428.0421,75523324.7415,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,2,T2,20260524,1994,300102.6346,3327428.0421,75523324.7415,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,3,T3,20260517,1994,300102.6346,3327428.7447,75523162.3709,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,3,T3,20260518,1994,300102.6346,3327428.7447,75523162.3709,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,3,T3,20260519,1994,300102.6346,3327428.7447,75523162.3709,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,3,T3,20260520,1994,300102.6346,3327428.7447,75523162.3709,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,3,T3,20260522,1994,300102.6346,3327428.7447,75523162.3709,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,3,T3,20260521,1994,300102.6346,3327428.7447,75523162.3709,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,3,T3,20260523,1994,300102.6346,3327428.7447,75523162.3709,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,3,T3,20260524,1994,300102.6346,3327428.7447,75523162.3709,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,4,T4,20260517,1994,300102.6346,3314299.1210,75852466.8650,40.3240,45.8494,100.0000,11.3205,14.1739,152.9736,411.2177,1.3645
SE,50.0000,4,T4,20260518,1994,300102.6346,3314299.1210,75852466.8650,40.3240,45.8494,100.0000,11.3205,14.1739,152.9736,411.2177,1.3645
SE,50.0000,4,T4,20260519,1994,300102.6346,3314299.1210,75852466.8650,40.3240,45.8494,100.0000,11.3205,14.1739,152.9736,411.2177,1.3645
SE,50.0000,4,T4,20260520,1994,300102.6346,3314299.1210,75852466.8650,40.3240,45.8494,100.0000,11.3205,14.1739,152.9736,411.2177,1.3645
SE,50.0000,4,T4,20260521,1994,300102.6346,3314299.1210,75852466.8650,40.3240,45.8494,100.0000,11.3205,14.1739,152.9736,411.2177,1.3645
SE,50.0000,4,T4,20260522,1994,300102.6346,3314299.1210,75852466.8650,40.3240,45.8494,100.0000,11.3205,14.1739,152.9736,411.2177,1.3645
SE,50.0000,4,T4,20260523,1994,300102.6346,3314299.1210,75852466.8650,40.3240,45.8494,100.0000,11.3205,14.1739,152.9736,411.2177,1.3645
SE,50.0000,4,T4,20260524,1994,300102.6346,3314299.1210,75852466.8650,40.3240,45.8494,100.0000,11.3205,14.1739,152.9736,411.2177,1.3645
SE,50.0000,5,T5,20260517,1994,300102.6346,3327428.0421,75523324.7415,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,5,T5,20260518,1994,300102.6346,3327428.0421,75523324.7415,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,5,T5,20260519,1994,300102.6346,3327428.0421,75523324.7415,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,5,T5,20260520,1994,300102.6346,3327428.0421,75523324.7415,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,5,T5,20260521,1994,300102.6346,3327428.0421,75523324.7415,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,5,T5,20260522,1994,300102.6346,3327428.0421,75523324.7415,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,5,T5,20260523,1994,300102.6346,3327428.0421,75523324.7415,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
SE,50.0000,5,T5,20260524,1994,300102.6346,3327428.0421,75523324.7415,40.4837,44.8584,100.0000,11.3302,14.1739,157.9583,411.2177,0.3735
CH,1.0000,0,T0,20260517,1994,6375.8483,191128.5054,229173.8714,2.3254,45.2689,100.0000,30.6133,16.3300,181.0000,469.4052,0.0000
CH,1.0000,0,T0,20260518,1994,6375.8483,191128.5054,229173.8714,2.3254,45.2689,100.0000,30.6133,16.3300,181.0000,469.4052,0.0000
CH,1.0000,0,T0,20260519,1994,6375.8483,191128.5054,229173.8714,2.3254,45.2689,100.0000,30.6133,16.3300,181.0000,469.4052,0.0000
CH,1.0000,0,T0,20260520,1994,6375.8483,191128.5054,229173.8714,2.3254,45.2689,100.0000,30.6133,16.3300,181.0000,469.4052,0.0000
CH,1.0000,0,T0,20260521,1994,6375.8483,191128.5054,229173.8714,2.3254,45.2689,100.0000,30.6133,16.3300,181.0000,469.4052,0.0000
CH,1.0000,0,T0,20260522,1994,6375.8483,191128.5054,229173.8714,2.3254,45.2689,100.0000,30.6133,16.3300,181.0000,469.4052,0.0000
CH,1.0000,0,T0,20260523,1994,6375.8483,191128.5054,229173.8714,2.3254,45.2689,100.0000,30.6133,16.3300,181.0000,469.4052,0.0000
CH,1.0000,0,T0,20260524,1994,6375.8483,191128.5054,229173.8714,2.3254,45.2689,100.0000,30.6133,16.3300,181.0000,469.4052,0.0000
CH,1.0000,1,T1,20260517,1994,6374.6483,190127.6753,227371.9334,2.3132,46.3546,100.0000,30.2046,11.1552,72.4769,120.1289,1.0857
CH,1.0000,1,T1,20260518,1994,6374.6483,190127.6753,227371.9334,2.3132,46.3546,100.0000,30.2046,11.1552,72.4769,120.1289,1.0857
CH,1.0000,1,T1,20260519,1994,6374.6483,190127.6753,227371.9334,2.3132,46.3546,100.0000,30.2046,11.1552,72.4769,120.1289,1.0857
CH,1.0000,1,T1,20260520,1994,6374.6483,190127.6753,227371.9334,2.3132,46.3546,100.0000,30.2046,11.1552,72.4769,120.1289,1.0857
CH,1.0000,1,T1,20260521,1994,6374.6483,190127.6753,227371.9334,2.3132,46.3546,100.0000,30.2046,11.1552,72.4769,120.1289,1.0857
CH,1.0000,1,T1,20260522,1994,6374.6483,190127.6753,227371.9334,2.3132,46.3546,100.0000,30.2046,11.1552,72.4769,120.1289,1.0857
CH,1.0000,1,T1,20260523,1994,6374.6483,190127.6753,227371.9334,2.3132,46.3546,100.0000,30.2046,11.1552,72.4769,120.1289,1.0857
CH,1.0000,1,T1,20260524,1994,6374.6483,190127.6753,227371.9334,2.3132,46.3546,100.0000,30.2046,11.1552,72.4769,120.1289,1.0857
CH,1.0000,2,T2,20260518,1994,6378.2154,190664.1812,231078.8691,2.3197,45.8709,100.0000,30.6055,15.4610,172.6894,457.1975,0.6020
CH,1.0000,2,T2,20260517,1994,6378.2154,190664.1812,231078.8691,2.3197,45.8709,100.0000,30.6055,15.4610,172.6894,457.1975,0.6020
CH,1.0000,2,T2,20260519,1994,6378.2154,190664.1812,231078.8691,2.3197,45.8709,100.0000,30.6055,15.4610,172.6894,457.1975,0.6020
CH,1.0000,2,T2,20260520,1994,6378.2154,190664.1812,231078.8691,2.3197,45.8709,100.0000,30.6055,15.4610,172.6894,457.1975,0.6020
CH,1.0000,2,T2,20260521,1994,6378.2154,190664.1812,231078.8691,2.3197,45.8709,100.0000,30.6055,15.4610,172.6894,457.1975,0.6020
CH,1.0000,2,T2,20260522,1994,6378.2154,190664.1812,231078.8691,2.3197,45.8709,100.0000,30.6055,15.4610,172.6894,457.1975,0.6020
CH,1.0000,2,T2,20260523,1994,6378.2154,190664.1812,231078.8691,2.3197,45.8709,100.0000,30.6055,15.4610,172.6894,457.1975,0.6020
CH,1.0000,2,T2,20260524,1994,6378.2154,190664.1812,231078.8691,2.3197,45.8709,100.0000,30.6055,15.4610,172.6894,457.1975,0.6020
CH,1.0000,3,T3,20260517,1994,6378.2154,189594.3796,231227.2974,2.3067,47.0740,100.0000,30.1791,10.5867,68.9654,114.3647,1.8051
CH,1.0000,3,T3,20260518,1994,6378.2154,189594.3796,231227.2974,2.3067,47.0740,100.0000,30.1791,10.5867,68.9654,114.3647,1.8051
CH,1.0000,3,T3,20260519,1994,6378.2154,189594.3796,231227.2974,2.3067,47.0740,100.0000,30.1791,10.5867,68.9654,114.3647,1.8051
